rank,gene,status,trust_boundary,review_lane,decision,stimulated_signal,specificity,regulon_context,primary_readout,why_interesting,stop_rules
1,PGGT1B,evidence_attached,proposal_only,top wet-lab bet,advance_to_assay_design,3014 DE at Stim8hr,"Rest 175 DE, K562 1 DE, RPE1 not measured",no CollecTRI regulon,Stim8hr transcriptional program,"PGGT1B has the largest stimulated footprint in the campaign, 3014 DE genes at Stim8hr, with K562 DE 1.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
2,RCC1L,evidence_attached,proposal_only,late activation follow-up,hold_as_ranked_backup,1167 DE at Stim48hr,"Rest 58 DE, K562 5 DE, RPE1 not measured",no CollecTRI regulon,Stim48hr transcriptional program,"RCC1L passes the non-canonical, on-target, CD4-specific filter with 1167 DE genes at Stim48hr.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
3,MCAT,evidence_attached,proposal_only,late activation follow-up,hold_as_ranked_backup,780 DE at Stim48hr,"Rest 113 DE, K562 20 DE, RPE1 not measured",no CollecTRI regulon,Stim48hr transcriptional program,"MCAT passes the non-canonical, on-target, CD4-specific filter with 780 DE genes at Stim48hr.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
4,RWDD2B,evidence_attached,proposal_only,bench follow-up,hold_as_ranked_backup,720 DE at Stim8hr,"Rest 190 DE, K562 1 DE, RPE1 not measured",no CollecTRI regulon,Stim8hr transcriptional program,"RWDD2B passes the non-canonical, on-target, CD4-specific filter with 720 DE genes at Stim8hr.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
5,CCDC22,evidence_attached,proposal_only,late activation follow-up,hold_as_ranked_backup,619 DE at Stim48hr,"Rest 116 DE, K562 13 DE, RPE1 not measured",no CollecTRI regulon,Stim48hr transcriptional program,"CCDC22 passes the non-canonical, on-target, CD4-specific filter with 619 DE genes at Stim48hr.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
6,GAS2L1,evidence_attached,proposal_only,clean specificity,advance_if_capacity_allows,457 DE at Stim48hr,"Rest 20 DE, K562 1 DE, RPE1 not measured",no CollecTRI regulon,Stim48hr transcriptional program,"GAS2L1 is nearly silent at Rest but crosses the campaign threshold after stimulation, with K562 DE 1.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
7,SNAP29,evidence_attached,proposal_only,clean specificity,advance_if_capacity_allows,407 DE at Stim8hr,"Rest 19 DE, K562 1 DE, RPE1 not measured",no CollecTRI regulon,Stim8hr transcriptional program,"SNAP29 is nearly silent at Rest but crosses the campaign threshold after stimulation, with K562 DE 1.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
8,CYB5RL,evidence_attached,proposal_only,late activation follow-up,hold_as_ranked_backup,389 DE at Stim48hr,"Rest 11 DE, K562 13 DE, RPE1 not measured",no CollecTRI regulon,Stim48hr transcriptional program,"CYB5RL is nearly silent at Rest but crosses the campaign threshold after stimulation, with K562 DE 13.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
9,LETM2,evidence_attached,proposal_only,clean specificity,advance_if_capacity_allows,386 DE at Stim48hr,"Rest 18 DE, K562 not measured, RPE1 not measured",no CollecTRI regulon,Stim48hr transcriptional program,"LETM2 is nearly silent at Rest but crosses the campaign threshold after stimulation, with no K562 measurement.",failed on-target knockdown in the stimulated condition | A broad non-immune effect in a follow-up transfer assay would lower priority. | broad non-immune effect appears in a transfer assay
10,DAPK2,evidence_attached,proposal_only,clean specificity,advance_if_capacity_allows,350 DE at Stim48hr,"Rest 11 DE, K562 not measured, RPE1 not measured",no CollecTRI regulon,Stim48hr transcriptional program,"DAPK2 is nearly silent at Rest but crosses the campaign threshold after stimulation, with no K562 measurement.",failed on-target knockdown in the stimulated condition | A broad non-immune effect in a follow-up transfer assay would lower priority. | broad non-immune effect appears in a transfer assay
11,SCO2,evidence_attached,proposal_only,bench follow-up,hold_as_ranked_backup,369 DE at Stim8hr,"Rest 53 DE, K562 0 DE, RPE1 not measured",no CollecTRI regulon,Stim8hr transcriptional program,"SCO2 passes the non-canonical, on-target, CD4-specific filter with 369 DE genes at Stim8hr.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
12,CCDC136,evidence_attached,proposal_only,clean specificity,advance_if_capacity_allows,263 DE at Stim48hr,"Rest 17 DE, K562 0 DE, RPE1 not measured",no CollecTRI regulon,Stim48hr transcriptional program,"CCDC136 is nearly silent at Rest but crosses the campaign threshold after stimulation, with K562 DE 0.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
13,MITD1,evidence_attached,proposal_only,clean specificity,advance_if_capacity_allows,250 DE at Stim48hr,"Rest 11 DE, K562 1 DE, RPE1 not measured",no CollecTRI regulon,Stim48hr transcriptional program,"MITD1 is nearly silent at Rest but crosses the campaign threshold after stimulation, with K562 DE 1.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
14,GZMB,evidence_attached,proposal_only,bench follow-up,hold_as_ranked_backup,496 DE at Stim8hr,"Rest 261 DE, K562 not measured, RPE1 not measured",no CollecTRI regulon,Stim8hr transcriptional program,"GZMB passes the non-canonical, on-target, CD4-specific filter with 496 DE genes at Stim8hr.",failed on-target knockdown in the stimulated condition | A broad non-immune effect in a follow-up transfer assay would lower priority. | Rest effect grows on replicate | broad non-immune effect appears in a transfer assay
15,FANCL,evidence_attached,proposal_only,late activation follow-up,hold_as_ranked_backup,329 DE at Stim48hr,"Rest 110 DE, K562 0 DE, RPE1 not measured",no CollecTRI regulon,Stim48hr transcriptional program,"FANCL passes the non-canonical, on-target, CD4-specific filter with 329 DE genes at Stim48hr.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
16,TNNC1,evidence_attached,proposal_only,late activation follow-up,hold_as_ranked_backup,260 DE at Stim48hr,"Rest 104 DE, K562 not measured, RPE1 not measured",no CollecTRI regulon,Stim48hr transcriptional program,"TNNC1 passes the non-canonical, on-target, CD4-specific filter with 260 DE genes at Stim48hr.",failed on-target knockdown in the stimulated condition | A broad non-immune effect in a follow-up transfer assay would lower priority. | broad non-immune effect appears in a transfer assay
17,BCKDHA,evidence_attached,proposal_only,bench follow-up,hold_as_ranked_backup,374 DE at Stim8hr,"Rest 291 DE, K562 1 DE, RPE1 not measured",no CollecTRI regulon,Stim8hr transcriptional program,"BCKDHA passes the non-canonical, on-target, CD4-specific filter with 374 DE genes at Stim8hr.",failed on-target knockdown in the stimulated condition | A larger Rest effect on replicate would make this look less activation-specific. | Rest effect grows on replicate
18,ZC3H12A,evidence_attached,proposal_only,bench follow-up,hold_as_ranked_backup,261 DE at Stim8hr,"Rest 181 DE, K562 5 DE, RPE1 not measured",no CollecTRI regulon,Stim8hr transcriptional program,"ZC3H12A passes the non-canonical, on-target, CD4-specific filter with 261 DE genes at Stim8hr.",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.
19,IRF4,evidence_attached,proposal_only,known-regulon anchor,use_as_regulon_anchor,567 DE at Stim8hr,"Rest 325 DE, K562 0 DE, RPE1 not measured",59 CollecTRI targets,Stim8hr transcriptional program,"IRF4 carries a literature regulon anchor while still passing the CD4-specific proposal filters, giving the follow-up a known comparison set.",failed on-target knockdown in the stimulated condition | A larger Rest effect on replicate would make this look less activation-specific. | Rest effect grows on replicate
20,RXRB,evidence_attached,proposal_only,known-regulon anchor,use_as_regulon_anchor,422 DE at Stim48hr,"Rest 308 DE, K562 2 DE, RPE1 not measured",15 CollecTRI targets,Stim48hr transcriptional program,"RXRB carries a literature regulon anchor while still passing the CD4-specific proposal filters, giving the follow-up a known comparison set.",failed on-target knockdown in the stimulated condition | A larger Rest effect on replicate would make this look less activation-specific. | Rest effect grows on replicate
