gene,batch,published_mashr_lfsr_lt_0_005,published_deseq2_padj_lt_0_05,editing_efficiency_min,editing_efficiency_median,live_cell_count_min,live_cell_count_median,donor_count
AIRE,gse271788_iei_background,2205,24,76.478679,81.322141,31384,41292.0,3
AKAP8,gse271788_iei_background,3031,12,83.939394,84.112150,47213,55899.0,3
ARID5A,gse271788_iei_background,2388,0,86.736842,87.145970,18982,39077.0,3
ATMIN,gse271788_iei_background,1840,1,83.603066,84.746242,61085,65920.0,3
ATXN7L3,gse171737_il2ra_regulators,5060,4166,,,65136,68144.0,3
BACH2,gse271788_iei_background,2051,27,84.478144,86.239496,47082,70390.0,3
BCL11B,gse271788_iei_background,2278,742,64.010624,64.975845,62624,67465.0,3
BPTF,gse271788_iei_background,2708,674,87.909605,89.903687,63513,65877.0,3
CBFB,gse171737_il2ra_regulators,3463,4172,,,33748,42083.0,3
CLOCK,gse271788_iei_background,1789,9,90.733907,91.553134,71566,80923.0,3
DR1,gse271788_iei_background,2562,994,92.663044,94.090275,58994,60692.0,3
EGR3,gse271788_iei_background,2165,0,87.715931,89.235128,67978,71531.0,3
ELK4,gse271788_iei_background,1977,1,87.972167,90.925700,46959,61853.0,3
EPAS1,gse271788_iei_background,1831,2,82.905983,87.301587,214,77240.0,3
ETS1,gse171737_il2ra_regulators,2782,2090,,,57993,72888.0,3
FOXK1,gse171737_il2ra_regulators,3788,399,,,54473,59125.0,3
FOXP1,gse171737_il2ra_regulators,2693,144,,,59252,68756.0,3
FOXP3,gse271788_iei_background,2810,11,88.024409,88.213628,74232,76882.0,3
GATA3,gse171737_il2ra_regulators,4043,508,,,64706,74795.0,3
GFI1,gse271788_iei_background,2353,129,76.624795,77.094380,62170,63560.0,3
HIVEP2,gse171737_il2ra_regulators,3172,10,,,68029,78644.0,3
HIVEP3,gse271788_iei_background,2289,0,84.893993,85.656836,67386,72958.0,3
IKZF1,gse271788_iei_background,3822,363,49.072643,58.142577,63860,65996.0,3
IL2RA,gse171737_il2ra_regulators,3989,2328,,,41533,47796.0,3
IRF1,gse171737_il2ra_regulators,2548,218,,,55954,64867.0,3
IRF2,gse171737_il2ra_regulators,2429,365,,,54450,54748.0,3
IRF3,gse271788_iei_background,1881,0,71.318328,76.234980,67462,74058.0,3
IRF4,gse171737_il2ra_regulators,3509,3067,,,20882,34101.0,3
IRF7,gse271788_iei_background,2471,2,88.503254,91.401869,66344,74094.0,3
IRF8,gse271788_iei_background,1906,0,80.414552,86.226964,47178,70528.0,3
IRF9,gse271788_iei_background,1928,7,83.355615,87.896440,75342,77739.0,3
JAK3,gse171737_il2ra_regulators,3642,861,,,21084,34639.0,3
KLF2,gse171737_il2ra_regulators,4741,2508,,,56401,56592.0,3
KLF9,gse271788_iei_background,2053,1,91.355778,94.235925,50892,71480.0,3
KMT2A,gse171737_il2ra_regulators,4289,917,,,68882,74962.0,3
LCOR,gse271788_iei_background,1978,0,85.289802,88.132475,50010,69173.0,3
MBD2,gse171737_il2ra_regulators,3204,1340,,,55433,67010.0,3
MED12,gse171737_il2ra_regulators,4690,4461,,,81643,97906.0,3
MYB,gse171737_il2ra_regulators,3510,3110,,,53644,68983.0,3
MYSM1,gse271788_iei_background,2247,23,90.310371,91.188359,62408,63949.0,3
NFAT5,gse271788_iei_background,2460,61,77.669903,80.265096,54368,63718.0,3
NFE2L2,gse271788_iei_background,1781,2,88.405797,89.023297,66908,72140.0,3
NFE2L3,gse271788_iei_background,1784,1,88.446215,93.910761,52404,72548.0,3
NFKB1,gse271788_iei_background,3450,164,91.795231,92.518703,47034,63106.0,3
NFKB2,gse271788_iei_background,4108,899,91.515994,93.721973,50622,72720.0,3
POU2F1,gse271788_iei_background,1832,0,84.679335,90.044053,48143,68953.0,3
PTEN,gse171737_il2ra_regulators,3366,1743,,,42090,56961.0,3
RBCK1,gse271788_iei_background,2752,1,74.574669,74.759152,49854,71021.0,3
REL,gse271788_iei_background,2408,1,90.146342,92.683938,66335,67576.0,3
RELA,gse171737_il2ra_regulators,3783,41,,,68562,72469.0,3
RELB,gse271788_iei_background,2396,2,91.549296,93.097345,50201,66415.0,3
RFX5,gse271788_iei_background,1969,30,82.797428,86.282723,59584,62395.0,3
RORC,gse271788_iei_background,2323,15,67.881944,69.224866,74004,74201.0,3
SETDB1,gse271788_iei_background,2712,174,90.274776,91.969981,66273,70507.0,3
SON,gse271788_iei_background,2478,29,24.877615,25.020082,63935,64846.0,3
SP110,gse271788_iei_background,1912,3,76.553106,84.750337,77740,79078.5,3
SREBF1,gse271788_iei_background,2421,4,83.829787,89.692102,43596,52225.0,3
STAT1,gse271788_iei_background,2277,466,92.938209,93.113772,52255,67007.0,3
STAT2,gse271788_iei_background,1868,3,92.787524,93.121150,51478,72751.0,3
STAT3,gse271788_iei_background,2206,107,89.442231,91.554054,69915,70181.0,3
STAT5A,gse171737_il2ra_regulators,3514,498,,,49809,55482.0,3
STAT5B,gse171737_il2ra_regulators,3738,1296,,,52129,56493.0,3
TBX21,gse271788_iei_background,2265,103,86.538461,88.175331,59402,65620.0,3
TCF3,gse271788_iei_background,2212,4,80.622010,81.854305,36191,67428.0,3
TET2,gse271788_iei_background,2436,1,80.528587,82.717678,70401,73920.0,3
TNFAIP3,gse171737_il2ra_regulators,4837,3396,,,32055,49506.0,3
TP53,gse271788_iei_background,1965,53,85.010060,86.006826,53066,76325.0,3
TTF1,gse271788_iei_background,3262,200,81.020591,82.263514,33924,40011.0,3
YBX1,gse271788_iei_background,2781,1064,74.738676,77.959831,27359,27501.0,3
YBX3,gse271788_iei_background,2134,18,72.854641,75.355805,49165,63022.0,3
YY1,gse171737_il2ra_regulators,3644,2863,,,56344,68366.0,3
ZBTB14,gse271788_iei_background,2345,29,82.981291,88.731563,65734,68048.0,3
ZBTB24,gse271788_iei_background,1917,6,86.859963,91.226645,55179,59809.0,3
ZFP3,gse271788_iei_background,2361,0,85.442260,85.970334,66321,72891.0,3
ZKSCAN1,gse271788_iei_background,2337,1,89.849108,91.897507,51705,69747.0,3
ZNF217,gse171737_il2ra_regulators,4452,1321,,,46098,57263.0,3
ZNF319,gse271788_iei_background,1691,4,66.397415,77.277599,58700,69858.0,3
ZNF329,gse271788_iei_background,2424,1,42.491349,45.081967,44426,59664.0,3
ZNF331,gse271788_iei_background,2046,0,72.692308,76.167076,50419,74451.0,3
ZNF341,gse271788_iei_background,1777,3,74.021909,75.429887,71129,73592.0,3
ZNF575,gse271788_iei_background,1967,0,38.888889,45.740741,65412,71286.0,3
ZNF655,gse271788_iei_background,1709,0,67.298219,67.400275,64799,72539.0,3
ZNF708,gse271788_iei_background,2093,1,34.380098,53.512849,70512,72857.0,3
ZNF791,gse271788_iei_background,2455,4,51.892260,64.388350,54099,66513.0,3
